ID,Company,Product,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,CPU,GPU,MemoryType,MemorySize,price
35,Apple,MacBook Air,Ultrabook,13.3,1296000,8,Mac OS X,1.35,Intel Core i5,Intel HD Graphics, Flash Storage,256,ideal price
36,Lenovo,IdeaPad 120S-14IAP,Notebook,14,1049088,4,Windows 10,1.44,Intel Celeron,Intel HD Graphics, Flash Storage,64,inexpensive
37,Acer,Aspire 3,Notebook,15.6,1049088,4,Linux,2.1,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
38,Dell,Inspiron 5770,Notebook,17.3,2073600,8,Windows 10,2.8,Intel Core i5,AMD Radeon Graphics, SSD&HDD,1128,ideal price
39,HP,250 G6,Notebook,15.6,1049088,4,Windows 10,1.86,Intel Core i5,Intel HD Graphics, HDD,1000,inexpensive
40,HP,ProBook 450,Notebook,15.6,2073600,8,Windows 10,2.1,Intel Core i5,Nvidia GeForce Graphics, SSD,256,ideal price
41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,2073600,4,Linux,2,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
42,Dell,Inspiron 7577,Gaming,15.6,2073600,16,Windows 10,2.65,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,moderetly expensive
43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1049088,8,Linux,2.3,Intel Core i5,Nvidia GeForce Graphics, HDD,1000,ideal price
44,Acer,Aspire A515-51G,Notebook,15.6,2073600,4,Windows 10,2.2,Intel Core i5,Intel UHD Graphics, SSD,256,ideal price
45,Dell,Inspiron 7773,2 in 1 Convertible,17.3,2073600,12,Windows 10,2.77,Intel Core i5,Nvidia GeForce Graphics, HDD,1000,ideal price
46,Apple,MacBook Pro,Ultrabook,13.3,4096000,8,macOS,1.37,Intel Core i5,Intel Iris Graphics, SSD,256,moderetly expensive
47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1049088,4,No OS,2.2,Intel Core i3,Intel HD Graphics, SSD,128,inexpensive
48,Asus,Rog Strix,Gaming,17.3,2073600,8,Windows 10,3.2,Other,AMD Radeon Graphics, SSD&HDD,1256,moderetly expensive
49,Dell,Inspiron 3567,Notebook,15.6,2073600,4,Windows 10,2.3,Intel Core i5,AMD Radeon Graphics, SSD,256,ideal price
50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1049088,4,Windows 10,2.8,Intel Pentium,Nvidia GeForce Graphics, HDD,1000,inexpensive
51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,2304000,4,Android,0.69,Intel Atom x,Intel HD Graphics, Flash Storage,64,inexpensive
52,Acer,Aspire A515-51G,Notebook,15.6,2073600,8,Windows 10,2.2,Intel Core i7,Nvidia GeForce Graphics, SSD,256,ideal price
53,HP,255 G6,Notebook,15.6,2073600,4,Windows 10,1.86,AMD A-Series,AMD Radeon Graphics, SSD,256,inexpensive
54,HP,ProBook 430,Notebook,13.3,2073600,8,Windows 10,1.49,Intel Core i7,Intel UHD Graphics, SSD,512,moderetly expensive
55,Acer,Aspire 3,Notebook,15.6,1049088,4,Windows 10,2.4,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
56,Dell,Inspiron 3576,Notebook,15.6,2073600,8,Windows 10,2.13,Intel Core i7,AMD Radeon Graphics, SSD,256,ideal price
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,2073600,4,Windows 10,1.91,Intel Core i3,Intel HD Graphics, SSD,128,inexpensive
58,Asus,VivoBook Max,Notebook,15.6,1049088,4,Windows 10,2,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
59,MSI,GS73VR 7RG,Gaming,17.3,2073600,16,Windows 10,2.43,Intel Core i7,Nvidia GeForce Graphics, SSD HDD,2256,very expensive
60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,2073600,4,Linux,2,Intel Core i3,Intel HD Graphics, SSD,256,inexpensive
61,Dell,Inspiron 5770,Notebook,17.3,2073600,16,Windows 10,2.8,Intel Core i7,AMD Radeon Graphics, SSD HDD,2256,moderetly expensive
62,Dell,Vostro 5471,Ultrabook,14,2073600,8,Windows 10,1.7,Intel Core i5,Intel UHD Graphics, SSD,256,ideal price
63,Lenovo,IdeaPad 520S-14IKB,Notebook,14,2073600,8,No OS,1.7,Intel Core i3,Intel HD Graphics, SSD,256,ideal price
64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14,2073600,8,Windows 10,1.4,Intel Core i5,Intel UHD Graphics, SSD,256,ideal price
65,HP,250 G6,Notebook,15.6,2073600,8,Windows 10,1.86,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
66,Asus,ZenBook Pro,Ultrabook,15.6,2073600,16,Windows 10,1.8,Intel Core i7,Nvidia GeForce Graphics, SSD,512,expinsive
67,HP,250 G6,Notebook,15.6,1049088,4,Windows 10,1.86,Intel Core i3,AMD Radeon Graphics, HDD,500,inexpensive
68,HP,Stream 14-AX040wm,Notebook,14,1049088,4,Windows 10,1.44,Intel Celeron,Intel HD Graphics, SSD,32,inexpensive
69,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,2073600,4,Windows 10,1.9,Intel Core i5,Intel HD Graphics, HDD,1000,ideal price
70,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,2073600,12,Linux,3,Intel Core i7,Nvidia GeForce Graphics, HDD,1000,ideal price
71,Microsoft,Surface Laptop,Ultrabook,13.5,3393024,4,Windows 10 S,1.252,Intel Core i5,Intel HD Graphics, SSD,128,moderetly expensive
72,Dell,Inspiron 5370,Ultrabook,13.3,2073600,8,Windows 10,1.4,Intel Core i7,AMD Radeon Graphics, SSD,256,ideal price
73,Dell,Inspiron 5570,Notebook,15.6,2073600,8,Windows 10,2.2,Intel Core i7,AMD Radeon Graphics, SSD,256,ideal price
74,MSI,GL72M 7RDX,Gaming,17.3,2073600,8,Windows 10,2.7,Intel Core i5,Nvidia GeForce Graphics, SSD&HDD,1128,moderetly expensive
75,Acer,Aspire E5-475,Notebook,14,1049088,8,Windows 10,2.1,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
76,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,2073600,8,Windows 10,2.2,Intel Core i7,Nvidia GeForce Graphics, HDD,1000,ideal price
77,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,2073600,8,No OS,2.2,Intel Core i5,Intel HD Graphics, HDD,2000,ideal price
78,Dell,Inspiron 5570,Notebook,15.6,2073600,8,Windows 10,2.02,Intel Core i7,Intel UHD Graphics, SSD&HDD,1128,ideal price
79,Acer,Aspire A515-51G-32MX,Notebook,15.6,2073600,4,Windows 10,2.2,Intel Core i3,Nvidia GeForce Graphics, HDD,1000,ideal price
80,HP,ProBook 470,Notebook,17.3,2073600,8,Windows 10,2.5,Intel Core i5,Nvidia GeForce Graphics, SSD&HDD,1128,ideal price
81,Dell,Latitude 5590,Ultrabook,15.6,2073600,8,Windows 10,1.88,Intel Core i5,Intel UHD Graphics, SSD,256,moderetly expensive
82,Apple,"MacBook 12""",Ultrabook,12,3317760,8,macOS,0.92,Intel Core i5,Intel HD Graphics, SSD,512,expinsive
83,HP,ProBook 440,Notebook,14,2073600,8,Windows 10,1.63,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
84,Lenovo,IdeaPad 320-15AST,Notebook,15.6,2073600,4,Windows 10,2.2,AMD A-Series,Other, SSD,128,inexpensive
85,Acer,Aspire 3,Notebook,15.6,1049088,4,Windows 10,2.1,AMD A-Series,AMD Radeon Graphics, HDD,1000,inexpensive
86,Dell,Inspiron 7577,Gaming,15.6,2073600,16,Windows 10,2.65,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1128,moderetly expensive
87,HP,Pavilion 15-CK000nv,Ultrabook,15.6,2073600,8,Windows 10,1.83,Intel Core i7,Nvidia GeForce Graphics, SSD,256,ideal price
88,HP,250 G6,Notebook,15.6,2073600,8,Windows 10,1.96,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
89,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,2073600,16,Windows 10,2.2,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1128,moderetly expensive
90,Dell,XPS 13,Ultrabook,13.3,2073600,8,Windows 10,1.21,Intel Core i7,Intel UHD Graphics, SSD,256,expinsive
91,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,2073600,8,Windows 10,2.45,Other,AMD Radeon Graphics, HDD,1000,ideal price
92,Acer,Aspire 5,Notebook,15.6,2073600,8,Windows 10,2.2,Intel Core i7,Nvidia GeForce Graphics, HDD,1000,ideal price
93,HP,Probook 430,Notebook,13.3,2073600,16,Windows 10,1.49,Intel Core i7,Intel UHD Graphics, SSD,512,moderetly expensive
94,Dell,Inspiron 7577,Gaming,15.6,2073600,8,Windows 10,2.65,Intel Core i5,Nvidia GeForce Graphics, SSD,256,moderetly expensive
95,Asus,Zenbook UX430UA,Ultrabook,14,2073600,8,Windows 10,1.25,Intel Core i7,Intel HD Graphics, SSD,256,moderetly expensive
96,Acer,Spin 5,2 in 1 Convertible,13.3,2073600,8,Windows 10,1.5,Intel Core i5,Intel UHD Graphics, SSD,256,ideal price
97,Dell,Inspiron 3567,Notebook,15.6,2073600,8,Linux,2.2,Intel Core i7,AMD Radeon Graphics, HDD,1000,ideal price
98,Dell,Inspiron 3567,Notebook,15.6,2073600,4,Linux,2.2,Intel Core i3,AMD Radeon Graphics, SSD,256,inexpensive
99,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,2073600,6,Windows 10,2,Intel Core i3,Nvidia GeForce Graphics, SSD,256,ideal price
100,HP,Omen 15-ce007nv,Gaming,15.6,2073600,12,Windows 10,2.62,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1128,moderetly expensive
101,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,2073600,8,Windows 10,1.91,Intel Core i7,AMD Radeon Graphics, SSD,256,ideal price
102,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,2073600,4,Windows 10,2.1,AMD E-Series,AMD Radeon Graphics, HDD,500,inexpensive
103,Dell,Inspiron 3576,Notebook,15.6,2073600,8,Linux,2.2,Intel Core i5,AMD Radeon Graphics, HDD,1000,ideal price
104,HP,Envy 13-ad009n,Ultrabook,13.3,2073600,8,Windows 10,1.38,Intel Core i7,Nvidia GeForce Graphics, SSD,256,moderetly expensive
105,Microsoft,Surface Laptop,Ultrabook,13.5,3393024,8,Windows 10 S,1.252,Intel Core i5,Intel HD Graphics, SSD,256,moderetly expensive
106,HP,Pavilion 14-BK001nv,Notebook,14,2073600,6,Windows 10,1.58,Intel Core i5,Nvidia GeForce Graphics, SSD,256,ideal price
107,Lenovo,Ideapad 310-15ISK,Notebook,15.6,2073600,4,Windows 10,1.85,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
108,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14,2073600,8,Windows 10,1.3,Intel Core i7,Nvidia GeForce Graphics, SSD,256,moderetly expensive
109,MSI,GP62M 7REX,Gaming,15.6,2073600,16,Windows 10,2.2,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,moderetly expensive
110,Lenovo,Thinkpad T470,Notebook,14,2073600,8,Windows 10,1.58,Intel Core i7,Intel HD Graphics, SSD,256,moderetly expensive
111,Asus,VivoBook S15,Ultrabook,15.6,2073600,16,Windows 10,1.5,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,moderetly expensive
112,Dell,XPS 13,Ultrabook,13.3,5760000,8,Windows 10,1.23,Intel Core i7,Intel Iris Graphics, SSD,256,moderetly expensive
113,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,2073600,8,Windows 10,1.37,Intel Core i5,Intel HD Graphics, SSD,256,moderetly expensive
114,HP,Probook 440,Notebook,14,1049088,4,Windows 10,1.63,Intel Core i5,Intel UHD Graphics, HDD,500,ideal price
115,Dell,XPS 13,Ultrabook,13.3,2073600,8,Windows 10,1.21,Intel Core i5,Intel UHD Graphics, SSD,256,expinsive
116,HP,Spectre x360,2 in 1 Convertible,13.3,2073600,8,Windows 10,1.26,Intel Core i5,Intel UHD Graphics, SSD,256,moderetly expensive
117,HP,Probook 440,Notebook,14,2073600,8,Windows 10,1.63,Intel Core i7,Intel UHD Graphics, SSD,512,moderetly expensive
118,Dell,Inspiron 7570,Notebook,15.6,2073600,8,Windows 10,2.16,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,moderetly expensive
119,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,2073600,4,Windows 10,2,Intel Core i3,Nvidia GeForce Graphics, HDD,1000,ideal price
120,Asus,VivoBook S15,Notebook,15.6,2073600,8,Windows 10,1.7,Intel Core i7,Nvidia GeForce Graphics, SSD,256,moderetly expensive
121,Acer,Spin 3,Notebook,15.6,2073600,6,Windows 10,2.1,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
122,MSI,GS63VR 7RG,Gaming,15.6,2073600,16,Windows 10,1.8,Intel Core i7,Nvidia GeForce Graphics, SSD HDD,2256,very expensive
123,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,2073600,8,No OS,2.2,Intel Core i5,Nvidia GeForce Graphics, SSD,256,ideal price
124,HP,Probook 470,Notebook,17.3,2073600,16,Windows 10,2.5,Intel Core i7,Nvidia GeForce Graphics, SSD,512,moderetly expensive
125,Acer,Aspire 3,Notebook,15.6,1049088,4,Windows 10,2.1,AMD A-Series,AMD Radeon Graphics, SSD,256,inexpensive
126,HP,250 G6,Notebook,15.6,1049088,4,No OS,1.86,Intel Celeron,Intel HD Graphics, HDD,500,inexpensive
127,HP,Probook 440,Notebook,14,2073600,8,Windows 10,1.63,Intel Core i5,Intel UHD Graphics, HDD,1000,ideal price
128,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14,1049088,4,Windows 10 S,1.65,AMD E-Series,AMD Radeon Graphics, SSD,64,inexpensive
129,Dell,Inspiron 5770,Notebook,17.3,2073600,16,Windows 10,2.8,Intel Core i7,AMD Radeon Graphics, SSD HDD,2256,moderetly expensive
130,HP,ProBook 470,Notebook,17.3,2073600,8,Windows 10,2.5,Intel Core i5,Intel UHD Graphics, SSD,256,ideal price
131,Dell,Inspiron 5567,Notebook,15.6,1049088,8,Windows 10,2.36,Intel Core i5,AMD Radeon Graphics, HDD,1000,ideal price
132,Dell,Inspiron 3567,Notebook,15.6,2073600,4,Windows 10,2.2,Intel Core i3,AMD Radeon Graphics, HDD,1000,inexpensive
133,Acer,Swift 3,Ultrabook,14,2073600,8,Windows 10,1.6,Intel Core i7,Intel UHD Graphics, SSD,256,ideal price
134,Acer,Aspire A515-51G-37JS,Notebook,15.6,2073600,4,Windows 10,2.2,Intel Core i3,Nvidia GeForce Graphics, SSD,256,ideal price
135,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,1049088,8,Windows 10,2.05,Intel Core i7,Intel HD Graphics, HDD,1000,ideal price
136,HP,Probook 440,Notebook,14,2073600,8,Windows 10,1.63,Intel Core i7,Intel UHD Graphics, SSD,256,ideal price
137,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,1049088,4,No OS,1.9,Intel Celeron,Intel HD Graphics, HDD,1000,inexpensive
138,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,2073600,8,Windows 10,3,Intel Core i5,Nvidia GeForce Graphics, SSD&HDD,1128,ideal price
139,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,2073600,4,No OS,2.2,Intel Core i5,Nvidia GeForce Graphics, HDD,1000,inexpensive
140,HP,Envy 13-AD007nv,Notebook,13.3,2073600,4,Windows 10,1.32,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
141,Acer,Aspire 5,Notebook,17.3,2073600,4,Windows 10,3,Intel Core i3,Nvidia GeForce Graphics, HDD,1000,ideal price
142,Lenovo,ThinkPad E480,Notebook,14,2073600,8,Windows 10,1.75,Intel Core i5,AMD Radeon Graphics, SSD,256,moderetly expensive
143,Lenovo,Legion Y520-15IKBN,Gaming,15.6,2073600,8,No OS,2.4,Intel Core i7,Nvidia GeForce Graphics, SSD,256,ideal price
144,Toshiba,Satellite Pro,Notebook,15.6,1049088,4,Windows 10,2.1,Intel Core i5,Intel HD Graphics, HDD,500,ideal price
145,HP,255 G6,Notebook,15.6,1049088,4,Windows 10,1.86,AMD A-Series,AMD Radeon Graphics, SSD,256,inexpensive
146,Asus,ZenBook UX430UA,Ultrabook,14,2073600,8,Windows 10,1.25,Intel Core i7,Intel UHD Graphics, SSD,256,moderetly expensive
147,HP,EliteBook Folio,Ultrabook,12.5,8294400,8,Windows 10,0.97,Intel Core M,Intel HD Graphics, SSD,512,very expensive
148,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,15.6,2073600,4,Windows 10,2,Intel Celeron,Intel HD Graphics, HDD,1000,inexpensive
149,MSI,GE72MVR 7RG,Gaming,17.3,2073600,16,Windows 10,2.9,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,very expensive
150,Acer,Aspire A315-51,Notebook,15.6,1049088,4,Windows 10,2.1,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
151,Dell,Inspiron 5577,Gaming,15.6,2073600,16,Windows 10,2.56,Intel Core i7,Nvidia GeForce Graphics, SSD,512,moderetly expensive
152,Dell,Inspiron 7567,Gaming,15.6,2073600,8,Windows 10,2.62,Intel Core i7,Nvidia GeForce Graphics, Hybrid,1000,ideal price
153,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,1049088,4,Windows 10,1.9,Intel Core i5,Intel HD Graphics, SSD,128,inexpensive
154,MSI,GE73VR 7RE,Gaming,17.3,2073600,16,Windows 10,2.8,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,expinsive
155,HP,EliteBook 840,Ultrabook,14,2073600,4,Windows 10,1.48,Intel Core i5,Intel HD Graphics, SSD,256,moderetly expensive
156,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,15.6,2073600,6,Windows 10,1.91,Intel Core i5,AMD Radeon Graphics, SSD,256,ideal price
157,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14,2073600,4,Windows 10,1.74,Intel Core i3,Intel HD Graphics, SSD,256,ideal price
158,Asus,ZenBook Flip,2 in 1 Convertible,13.3,2073600,8,Windows 10,1.1,Intel Core i5,Intel HD Graphics, SSD,256,moderetly expensive
159,Dell,Inspiron 5579,2 in 1 Convertible,15.6,2073600,8,Windows 10,1.56,Intel Core i7,Intel UHD Graphics, SSD,256,moderetly expensive
160,Toshiba,Satellite Pro,Notebook,15.6,1049088,4,Windows 10,2.1,Intel Core i3,Intel HD Graphics, HDD,500,inexpensive
161,Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,1049088,4,Windows 10,2.03,AMD A-Series,AMD Radeon Graphics, HDD,1000,inexpensive
162,Acer,Aspire A517-51G,Notebook,17.3,2073600,4,Windows 10,3,Intel Core i5,Nvidia GeForce Graphics, SSD,256,ideal price
163,Dell,Inspiron 3576,Notebook,15.6,2073600,8,Windows 10,2.13,Intel Core i5,AMD Radeon Graphics, SSD,256,ideal price
164,Lenovo,Legion Y520-15IKBN,Gaming,15.6,2073600,16,Windows 10,2.5,Intel Core i7,Nvidia GeForce Graphics, SSD,256,moderetly expensive
165,Acer,Aspire A315-31,Notebook,15.6,1049088,4,Windows 10,2.1,Intel Celeron,Intel HD Graphics, HDD,1000,inexpensive
166,MSI,GE63VR 7RE,Gaming,15.6,2073600,16,Windows 10,2.4,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,expinsive
167,Acer,Aspire 3,Notebook,15.6,1049088,4,Windows 10,2.1,Intel Pentium,Intel HD Graphics, HDD,1000,inexpensive
168,Dell,Inspiron 5577,Gaming,15.6,2073600,8,Windows 10,2.56,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1128,moderetly expensive
169,Acer,Aspire A517-51G,Notebook,17.3,2073600,8,Windows 10,3,Intel Core i5,Nvidia GeForce Graphics, SSD,256,ideal price
170,HP,ProBook 430,Notebook,13.3,2073600,4,Windows 10,1.49,Intel Core i5,Intel UHD Graphics, HDD,500,ideal price
171,Huawei,MateBook X,Ultrabook,13,3110400,8,Windows 10,1.05,Intel Core i5,Intel HD Graphics, SSD,256,moderetly expensive
172,HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,17.3,2073600,6,Windows 10,2.71,Intel Core i5,AMD Radeon Graphics, HDD,2000,ideal price
173,Lenovo,IdeaPad 320-15AST,Notebook,15.6,1049088,4,No OS,2.2,AMD A-Series,AMD Radeon Graphics, HDD,500,inexpensive
174,Toshiba,Satellite Pro,Notebook,15.6,1049088,4,Windows 10,2,Intel Core i3,Intel HD Graphics, HDD,500,inexpensive
175,HP,ProBook 470,Notebook,17.3,2073600,8,Windows 10,2.5,Intel Core i5,Nvidia GeForce Graphics, SSD,256,ideal price
176,Dell,Inspiron 3567,Notebook,15.6,1049088,8,Windows 10,2.3,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
177,Acer,Aspire A315-51,Notebook,15.6,1049088,4,Windows 10,2.1,Intel Core i3,Intel HD Graphics, SSD,128,inexpensive
178,MSI,GT80S 6QF-074US,Gaming,18.4,2073600,32,Windows 10,4.4,Intel Core i7,Other, SSD&HDD,1512,very expensive
179,Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,15.6,2073600,8,Windows 10,1.9,Intel Core i5,Other, SSD&HDD,1128,ideal price
180,HP,Spectre x360,2 in 1 Convertible,13.3,8294400,8,Windows 10,1.29,Intel Core i5,Intel UHD Graphics, SSD,256,moderetly expensive
181,Dell,Inspiron 5570,Notebook,15.6,2073600,16,Linux,2.02,Intel Core i7,AMD Radeon Graphics, SSD HDD,2256,moderetly expensive
182,Dell,XPS 13,Ultrabook,13.3,2073600,8,Windows 10,1.23,Intel Core i5,Intel UHD Graphics, SSD,256,moderetly expensive
183,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,8294400,16,Windows 10,1.4,Intel Core i7,Intel UHD Graphics, SSD,512,expinsive
