"Company","TypeName","Inches","ScreenResolution","Ram","OpSys","Weight","Price_euros","CPU","GPU","MemoryType","MemorySize","price"
"Chuwi","Notebook",15.6,2073600,4,"Windows 10",1.89,244.99,"Intel Atom x","Intel HD Graphics"," Flash Storage",64,"inexpensive"
"Asus","Notebook",14,1049088,2,"Windows 10",1.65,199,"AMD E-Series","AMD Radeon Graphics"," Flash Storage",32,"inexpensive"
"HP","Notebook",17.3,2073600,4,"Windows 10",2.71,439,"AMD A-Series","AMD Radeon Graphics"," HDD",500,"inexpensive"
"Dell","Ultrabook",13.3,5760000,16,"Windows 10",1.2,1869,"Intel Core i7","Intel UHD Graphics"," SSD",512,"expinsive"
"Apple","Ultrabook",13.3,1296000,8,"Mac OS X",1.35,998,"Intel Core i5","Intel HD Graphics"," Flash Storage",256,"ideal price"
"Lenovo","Notebook",14,1049088,4,"Windows 10",1.44,249,"Intel Celeron","Intel HD Graphics"," Flash Storage",64,"inexpensive"
"Acer","Notebook",15.6,1049088,4,"Linux",2.1,367,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"Dell","Notebook",17.3,2073600,8,"Windows 10",2.8,979,"Intel Core i5","AMD Radeon Graphics"," SSD&HDD",1128,"ideal price"
"HP","Notebook",15.6,1049088,4,"Windows 10",1.86,488.69,"Intel Core i5","Intel HD Graphics"," HDD",1000,"inexpensive"
"HP","Notebook",15.6,2073600,8,"Windows 10",2.1,879,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Asus","Notebook",15.6,2073600,4,"Linux",2,389,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"Dell","Gaming",15.6,2073600,16,"Windows 10",2.65,1499,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"moderetly expensive"
"Asus","Notebook",15.6,1049088,8,"Linux",2.3,522.99,"Intel Core i5","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"Acer","Notebook",15.6,2073600,4,"Windows 10",2.2,682,"Intel Core i5","Intel UHD Graphics"," SSD",256,"ideal price"
"Dell","2 in 1 Convertible",17.3,2073600,12,"Windows 10",2.77,999,"Intel Core i5","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"Apple","Ultrabook",13.3,4096000,8,"macOS",1.37,1419,"Intel Core i5","Intel Iris Graphics"," SSD",256,"moderetly expensive"
"Lenovo","Notebook",15.6,1049088,4,"No OS",2.2,369,"Intel Core i3","Intel HD Graphics"," SSD",128,"inexpensive"
"Asus","Gaming",17.3,2073600,8,"Windows 10",3.2,1299,"Other","AMD Radeon Graphics"," SSD&HDD",1256,"moderetly expensive"
"Dell","Notebook",15.6,2073600,4,"Windows 10",2.3,639,"Intel Core i5","AMD Radeon Graphics"," SSD",256,"ideal price"
"Asus","Notebook",17.3,1049088,4,"Windows 10",2.8,466,"Intel Pentium","Nvidia GeForce Graphics"," HDD",1000,"inexpensive"
"Lenovo","2 in 1 Convertible",10.1,2304000,4,"Android",0.69,319,"Intel Atom x","Intel HD Graphics"," Flash Storage",64,"inexpensive"
"Acer","Notebook",15.6,2073600,8,"Windows 10",2.2,841,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"HP","Notebook",15.6,2073600,4,"Windows 10",1.86,398.49,"AMD A-Series","AMD Radeon Graphics"," SSD",256,"inexpensive"
"HP","Notebook",13.3,2073600,8,"Windows 10",1.49,1103,"Intel Core i7","Intel UHD Graphics"," SSD",512,"moderetly expensive"
"Acer","Notebook",15.6,1049088,4,"Windows 10",2.4,384,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"Dell","Notebook",15.6,2073600,8,"Windows 10",2.13,767.8,"Intel Core i7","AMD Radeon Graphics"," SSD",256,"ideal price"
"HP","Notebook",15.6,2073600,4,"Windows 10",1.91,439,"Intel Core i3","Intel HD Graphics"," SSD",128,"inexpensive"
"Asus","Notebook",15.6,1049088,4,"Windows 10",2,586.19,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"MSI","Gaming",17.3,2073600,16,"Windows 10",2.43,2449,"Intel Core i7","Nvidia GeForce Graphics"," SSD HDD",2256,"very expensive"
"Asus","Notebook",15.6,2073600,4,"Linux",2,415,"Intel Core i3","Intel HD Graphics"," SSD",256,"inexpensive"
"Dell","Notebook",17.3,2073600,16,"Windows 10",2.8,1299,"Intel Core i7","AMD Radeon Graphics"," SSD HDD",2256,"moderetly expensive"
"Dell","Ultrabook",14,2073600,8,"Windows 10",1.7,879,"Intel Core i5","Intel UHD Graphics"," SSD",256,"ideal price"
"Lenovo","Notebook",14,2073600,8,"No OS",1.7,599,"Intel Core i3","Intel HD Graphics"," SSD",256,"ideal price"
"Asus","Notebook",14,2073600,8,"Windows 10",1.4,941,"Intel Core i5","Intel UHD Graphics"," SSD",256,"ideal price"
"HP","Notebook",15.6,2073600,8,"Windows 10",1.86,690,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Asus","Ultrabook",15.6,2073600,16,"Windows 10",1.8,1983,"Intel Core i7","Nvidia GeForce Graphics"," SSD",512,"expinsive"
"HP","Notebook",15.6,1049088,4,"Windows 10",1.86,438.69,"Intel Core i3","AMD Radeon Graphics"," HDD",500,"inexpensive"
"HP","Notebook",14,1049088,4,"Windows 10",1.44,229,"Intel Celeron","Intel HD Graphics"," SSD",32,"inexpensive"
"Lenovo","Notebook",15.6,2073600,4,"Windows 10",1.9,549,"Intel Core i5","Intel HD Graphics"," HDD",1000,"ideal price"
"Asus","Gaming",17.3,2073600,12,"Linux",3,949,"Intel Core i7","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"Microsoft","Ultrabook",13.5,3393024,4,"Windows 10 S",1.252,1089,"Intel Core i5","Intel HD Graphics"," SSD",128,"moderetly expensive"
"Dell","Ultrabook",13.3,2073600,8,"Windows 10",1.4,955,"Intel Core i7","AMD Radeon Graphics"," SSD",256,"ideal price"
"Dell","Notebook",15.6,2073600,8,"Windows 10",2.2,870,"Intel Core i7","AMD Radeon Graphics"," SSD",256,"ideal price"
"MSI","Gaming",17.3,2073600,8,"Windows 10",2.7,1095,"Intel Core i5","Nvidia GeForce Graphics"," SSD&HDD",1128,"moderetly expensive"
"Acer","Notebook",14,1049088,8,"Windows 10",2.1,389,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"Asus","Gaming",15.6,2073600,8,"Windows 10",2.2,949,"Intel Core i7","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"Lenovo","Notebook",15.6,2073600,8,"No OS",2.2,519,"Intel Core i5","Intel HD Graphics"," HDD",2000,"ideal price"
"Dell","Notebook",15.6,2073600,8,"Windows 10",2.02,855,"Intel Core i7","Intel UHD Graphics"," SSD&HDD",1128,"ideal price"
"Acer","Notebook",15.6,2073600,4,"Windows 10",2.2,530,"Intel Core i3","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"HP","Notebook",17.3,2073600,8,"Windows 10",2.5,977,"Intel Core i5","Nvidia GeForce Graphics"," SSD&HDD",1128,"ideal price"
"Dell","Ultrabook",15.6,2073600,8,"Windows 10",1.88,1096.16,"Intel Core i5","Intel UHD Graphics"," SSD",256,"moderetly expensive"
"Apple","Ultrabook",12,3317760,8,"macOS",0.92,1510,"Intel Core i5","Intel HD Graphics"," SSD",512,"expinsive"
"HP","Notebook",14,2073600,8,"Windows 10",1.63,860,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Lenovo","Notebook",15.6,2073600,4,"Windows 10",2.2,399,"AMD A-Series","Other"," SSD",128,"inexpensive"
"Acer","Notebook",15.6,1049088,4,"Windows 10",2.1,395,"AMD A-Series","AMD Radeon Graphics"," HDD",1000,"inexpensive"
"Dell","Gaming",15.6,2073600,16,"Windows 10",2.65,1349,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1128,"moderetly expensive"
"HP","Ultrabook",15.6,2073600,8,"Windows 10",1.83,699,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"HP","Notebook",15.6,2073600,8,"Windows 10",1.96,598.99,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Asus","Gaming",15.6,2073600,16,"Windows 10",2.2,1449,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1128,"moderetly expensive"
"Dell","Ultrabook",13.3,2073600,8,"Windows 10",1.21,1649,"Intel Core i7","Intel UHD Graphics"," SSD",256,"expinsive"
"Asus","Gaming",15.6,2073600,8,"Windows 10",2.45,699,"Other","AMD Radeon Graphics"," HDD",1000,"ideal price"
"Acer","Notebook",15.6,2073600,8,"Windows 10",2.2,689,"Intel Core i7","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"HP","Notebook",13.3,2073600,16,"Windows 10",1.49,1197,"Intel Core i7","Intel UHD Graphics"," SSD",512,"moderetly expensive"
"Dell","Gaming",15.6,2073600,8,"Windows 10",2.65,1195,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"moderetly expensive"
"Asus","Ultrabook",14,2073600,8,"Windows 10",1.25,1049,"Intel Core i7","Intel HD Graphics"," SSD",256,"moderetly expensive"
"Acer","2 in 1 Convertible",13.3,2073600,8,"Windows 10",1.5,847,"Intel Core i5","Intel UHD Graphics"," SSD",256,"ideal price"
"Dell","Notebook",15.6,2073600,8,"Linux",2.2,599.9,"Intel Core i7","AMD Radeon Graphics"," HDD",1000,"ideal price"
"Dell","Notebook",15.6,2073600,4,"Linux",2.2,485,"Intel Core i3","AMD Radeon Graphics"," SSD",256,"inexpensive"
"Asus","Notebook",15.6,2073600,6,"Windows 10",2,577,"Intel Core i3","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"HP","Gaming",15.6,2073600,12,"Windows 10",2.62,1249,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1128,"moderetly expensive"
"HP","Notebook",15.6,2073600,8,"Windows 10",1.91,719,"Intel Core i7","AMD Radeon Graphics"," SSD",256,"ideal price"
"HP","Notebook",15.6,2073600,4,"Windows 10",2.1,349,"AMD E-Series","AMD Radeon Graphics"," HDD",500,"inexpensive"
"Dell","Notebook",15.6,2073600,8,"Linux",2.2,647,"Intel Core i5","AMD Radeon Graphics"," HDD",1000,"ideal price"
"HP","Ultrabook",13.3,2073600,8,"Windows 10",1.38,1119,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"moderetly expensive"
"Microsoft","Ultrabook",13.5,3393024,8,"Windows 10 S",1.252,1340,"Intel Core i5","Intel HD Graphics"," SSD",256,"moderetly expensive"
"HP","Notebook",14,2073600,6,"Windows 10",1.58,659,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Lenovo","Notebook",15.6,2073600,4,"Windows 10",1.85,414.9,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"Asus","Ultrabook",14,2073600,8,"Windows 10",1.3,1193,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"moderetly expensive"
"MSI","Gaming",15.6,2073600,16,"Windows 10",2.2,1299,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"moderetly expensive"
"Lenovo","Notebook",14,2073600,8,"Windows 10",1.58,1480,"Intel Core i7","Intel HD Graphics"," SSD",256,"moderetly expensive"
"Asus","Ultrabook",15.6,2073600,16,"Windows 10",1.5,1262,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"moderetly expensive"
"Dell","Ultrabook",13.3,5760000,8,"Windows 10",1.23,1379,"Intel Core i7","Intel Iris Graphics"," SSD",256,"moderetly expensive"
"Lenovo","2 in 1 Convertible",13.3,2073600,8,"Windows 10",1.37,1399,"Intel Core i5","Intel HD Graphics"," SSD",256,"moderetly expensive"
"HP","Notebook",14,1049088,4,"Windows 10",1.63,722,"Intel Core i5","Intel UHD Graphics"," HDD",500,"ideal price"
"Dell","Ultrabook",13.3,2073600,8,"Windows 10",1.21,1629,"Intel Core i5","Intel UHD Graphics"," SSD",256,"expinsive"
"HP","2 in 1 Convertible",13.3,2073600,8,"Windows 10",1.26,1398.99,"Intel Core i5","Intel UHD Graphics"," SSD",256,"moderetly expensive"
"HP","Notebook",14,2073600,8,"Windows 10",1.63,1084,"Intel Core i7","Intel UHD Graphics"," SSD",512,"moderetly expensive"
"Dell","Notebook",15.6,2073600,8,"Windows 10",2.16,1130.33,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"moderetly expensive"
"Asus","Notebook",17.3,2073600,4,"Windows 10",2,564,"Intel Core i3","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"Asus","Notebook",15.6,2073600,8,"Windows 10",1.7,1118,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"moderetly expensive"
"Acer","Notebook",15.6,2073600,6,"Windows 10",2.1,479,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"MSI","Gaming",15.6,2073600,16,"Windows 10",1.8,2241.5,"Intel Core i7","Nvidia GeForce Graphics"," SSD HDD",2256,"very expensive"
"Lenovo","Notebook",15.6,2073600,8,"No OS",2.2,629,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"HP","Notebook",17.3,2073600,16,"Windows 10",2.5,1271,"Intel Core i7","Nvidia GeForce Graphics"," SSD",512,"moderetly expensive"
"Acer","Notebook",15.6,1049088,4,"Windows 10",2.1,451,"AMD A-Series","AMD Radeon Graphics"," SSD",256,"inexpensive"
"HP","Notebook",15.6,1049088,4,"No OS",1.86,259,"Intel Celeron","Intel HD Graphics"," HDD",500,"inexpensive"
"HP","Notebook",14,2073600,8,"Windows 10",1.63,812,"Intel Core i5","Intel UHD Graphics"," HDD",1000,"ideal price"
"Asus","Notebook",14,1049088,4,"Windows 10 S",1.65,277.99,"AMD E-Series","AMD Radeon Graphics"," SSD",64,"inexpensive"
"Dell","Notebook",17.3,2073600,16,"Windows 10",2.8,1396,"Intel Core i7","AMD Radeon Graphics"," SSD HDD",2256,"moderetly expensive"
"HP","Notebook",17.3,2073600,8,"Windows 10",2.5,928,"Intel Core i5","Intel UHD Graphics"," SSD",256,"ideal price"
"Dell","Notebook",15.6,1049088,8,"Windows 10",2.36,638.99,"Intel Core i5","AMD Radeon Graphics"," HDD",1000,"ideal price"
"Dell","Notebook",15.6,2073600,4,"Windows 10",2.2,449,"Intel Core i3","AMD Radeon Graphics"," HDD",1000,"inexpensive"
"Acer","Ultrabook",14,2073600,8,"Windows 10",1.6,884,"Intel Core i7","Intel UHD Graphics"," SSD",256,"ideal price"
"Acer","Notebook",15.6,2073600,4,"Windows 10",2.2,572,"Intel Core i3","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"HP","Notebook",15.6,1049088,8,"Windows 10",2.05,598,"Intel Core i7","Intel HD Graphics"," HDD",1000,"ideal price"
"HP","Notebook",14,2073600,8,"Windows 10",1.63,988,"Intel Core i7","Intel UHD Graphics"," SSD",256,"ideal price"
"Lenovo","Notebook",15.6,1049088,4,"No OS",1.9,252.36,"Intel Celeron","Intel HD Graphics"," HDD",1000,"inexpensive"
"Asus","Gaming",17.3,2073600,8,"Windows 10",3,938,"Intel Core i5","Nvidia GeForce Graphics"," SSD&HDD",1128,"ideal price"
"Lenovo","Notebook",15.6,2073600,4,"No OS",2.2,499,"Intel Core i5","Nvidia GeForce Graphics"," HDD",1000,"inexpensive"
"HP","Notebook",13.3,2073600,4,"Windows 10",1.32,699,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Acer","Notebook",17.3,2073600,4,"Windows 10",3,655,"Intel Core i3","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"Lenovo","Notebook",14,2073600,8,"Windows 10",1.75,1116.02,"Intel Core i5","AMD Radeon Graphics"," SSD",256,"moderetly expensive"
"Lenovo","Gaming",15.6,2073600,8,"No OS",2.4,869,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Toshiba","Notebook",15.6,1049088,4,"Windows 10",2.1,602,"Intel Core i5","Intel HD Graphics"," HDD",500,"ideal price"
"HP","Notebook",15.6,1049088,4,"Windows 10",1.86,369,"AMD A-Series","AMD Radeon Graphics"," SSD",256,"inexpensive"
"Asus","Ultrabook",14,2073600,8,"Windows 10",1.25,1099,"Intel Core i7","Intel UHD Graphics"," SSD",256,"moderetly expensive"
"HP","Ultrabook",12.5,8294400,8,"Windows 10",0.97,2014,"Intel Core M","Intel HD Graphics"," SSD",512,"very expensive"
"Asus","Notebook",15.6,2073600,4,"Windows 10",2,344,"Intel Celeron","Intel HD Graphics"," HDD",1000,"inexpensive"
"MSI","Gaming",17.3,2073600,16,"Windows 10",2.9,2029,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"very expensive"
"Acer","Notebook",15.6,1049088,4,"Windows 10",2.1,447,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"Dell","Gaming",15.6,2073600,16,"Windows 10",2.56,1249.26,"Intel Core i7","Nvidia GeForce Graphics"," SSD",512,"moderetly expensive"
"Dell","Gaming",15.6,2073600,8,"Windows 10",2.62,899,"Intel Core i7","Nvidia GeForce Graphics"," Hybrid",1000,"ideal price"
"Lenovo","Notebook",15.6,1049088,4,"Windows 10",1.9,498,"Intel Core i5","Intel HD Graphics"," SSD",128,"inexpensive"
"MSI","Gaming",17.3,2073600,16,"Windows 10",2.8,1890,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"expinsive"
"HP","Ultrabook",14,2073600,4,"Windows 10",1.48,1082,"Intel Core i5","Intel HD Graphics"," SSD",256,"moderetly expensive"
"HP","Notebook",15.6,2073600,6,"Windows 10",1.91,619,"Intel Core i5","AMD Radeon Graphics"," SSD",256,"ideal price"
"Lenovo","2 in 1 Convertible",14,2073600,4,"Windows 10",1.74,629,"Intel Core i3","Intel HD Graphics"," SSD",256,"ideal price"
"Asus","2 in 1 Convertible",13.3,2073600,8,"Windows 10",1.1,1315,"Intel Core i5","Intel HD Graphics"," SSD",256,"moderetly expensive"
"Dell","2 in 1 Convertible",15.6,2073600,8,"Windows 10",1.56,1049,"Intel Core i7","Intel UHD Graphics"," SSD",256,"moderetly expensive"
"Toshiba","Notebook",15.6,1049088,4,"Windows 10",2.1,447,"Intel Core i3","Intel HD Graphics"," HDD",500,"inexpensive"
"Asus","Notebook",15.6,1049088,4,"Windows 10",2.03,403,"AMD A-Series","AMD Radeon Graphics"," HDD",1000,"inexpensive"
"Acer","Notebook",17.3,2073600,4,"Windows 10",3,805,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Dell","Notebook",15.6,2073600,8,"Windows 10",2.13,728,"Intel Core i5","AMD Radeon Graphics"," SSD",256,"ideal price"
"Lenovo","Gaming",15.6,2073600,16,"Windows 10",2.5,1079,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"moderetly expensive"
"Acer","Notebook",15.6,1049088,4,"Windows 10",2.1,348,"Intel Celeron","Intel HD Graphics"," HDD",1000,"inexpensive"
"MSI","Gaming",15.6,2073600,16,"Windows 10",2.4,1799,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"expinsive"
"Acer","Notebook",15.6,1049088,4,"Windows 10",2.1,363.51,"Intel Pentium","Intel HD Graphics"," HDD",1000,"inexpensive"
"Dell","Gaming",15.6,2073600,8,"Windows 10",2.56,1060.49,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1128,"moderetly expensive"
"Acer","Notebook",17.3,2073600,8,"Windows 10",3,854,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"HP","Notebook",13.3,2073600,4,"Windows 10",1.49,754,"Intel Core i5","Intel UHD Graphics"," HDD",500,"ideal price"
"Huawei","Ultrabook",13,3110400,8,"Windows 10",1.05,1349,"Intel Core i5","Intel HD Graphics"," SSD",256,"moderetly expensive"
"HP","Notebook",17.3,2073600,6,"Windows 10",2.71,699,"Intel Core i5","AMD Radeon Graphics"," HDD",2000,"ideal price"
"Lenovo","Notebook",15.6,1049088,4,"No OS",2.2,309,"AMD A-Series","AMD Radeon Graphics"," HDD",500,"inexpensive"
"Toshiba","Notebook",15.6,1049088,4,"Windows 10",2,489,"Intel Core i3","Intel HD Graphics"," HDD",500,"inexpensive"
"HP","Notebook",17.3,2073600,8,"Windows 10",2.5,923,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Dell","Notebook",15.6,1049088,8,"Windows 10",2.3,459,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"Acer","Notebook",15.6,1049088,4,"Windows 10",2.1,449,"Intel Core i3","Intel HD Graphics"," SSD",128,"inexpensive"
"MSI","Gaming",18.4,2073600,32,"Windows 10",4.4,2799,"Intel Core i7","Other"," SSD&HDD",1512,"very expensive"
"Lenovo","Notebook",15.6,2073600,8,"Windows 10",1.9,813,"Intel Core i5","Other"," SSD&HDD",1128,"ideal price"
"HP","2 in 1 Convertible",13.3,8294400,8,"Windows 10",1.29,1499,"Intel Core i5","Intel UHD Graphics"," SSD",256,"moderetly expensive"
"Dell","Notebook",15.6,2073600,16,"Linux",2.02,1049,"Intel Core i7","AMD Radeon Graphics"," SSD HDD",2256,"moderetly expensive"
"Dell","Ultrabook",13.3,2073600,8,"Windows 10",1.23,1399,"Intel Core i5","Intel UHD Graphics"," SSD",256,"moderetly expensive"
"Lenovo","2 in 1 Convertible",13.9,8294400,16,"Windows 10",1.4,1849,"Intel Core i7","Intel UHD Graphics"," SSD",512,"expinsive"
"Toshiba","Notebook",15.6,1049088,8,"Windows 10",2,793,"Intel Core i5","Intel HD Graphics"," SSD",128,"ideal price"
"Xiaomi","Notebook",15.6,2073600,8,"No OS",1.95,1199,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"moderetly expensive"
"Dell","Notebook",17.3,2073600,16,"Windows 10",2.77,1549,"Intel Core i7","Nvidia GeForce Graphics"," SSD",512,"expinsive"
"Dell","Notebook",15.6,8294400,16,"Windows 10",2.06,2397,"Intel Core i7","Nvidia GeForce Graphics"," SSD",512,"very expensive"
"Lenovo","Gaming",15.6,2073600,8,"No OS",2.4,779,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Acer","Ultrabook",13.3,2073600,8,"Windows 10",1.12,989,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Dell","Notebook",17.3,2073600,8,"Windows 10",2.8,1085,"Intel Core i7","AMD Radeon Graphics"," SSD&HDD",1128,"moderetly expensive"
"Lenovo","2 in 1 Convertible",14,3686400,16,"Windows 10",1.42,2824,"Intel Core i7","Intel HD Graphics"," SSD",1000,"very expensive"
"Vero","Notebook",14,2073600,4,"Windows 10",1.3,260,"Intel Celeron","Intel HD Graphics"," Flash Storage",32,"inexpensive"
"Xiaomi","Ultrabook",13.3,2073600,8,"No OS",1.3,999.9,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Lenovo","Notebook",17.3,1440000,8,"No OS",2.8,698,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Dell","2 in 1 Convertible",13.3,2073600,8,"Windows 10",1.62,839,"Intel Core i7","Intel UHD Graphics"," HDD",1000,"ideal price"
"HP","Notebook",17.3,2073600,8,"Windows 10",2.5,914,"Intel Core i5","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
